Job Title,Company,Location,Link,Experience,Description
DATA ENGINEER – (DX),STAR SERVICES LLC,Abu Dhabi - United Arab Emirates (UAE),https://www.naukrigulf.com/star-services-llc-jobs-cid-75379,10 - 11 Years,"Assist in digital transformation, develop data engineering solutions, manage data pipelines, ensure data quality, and support enterprise data governance."
Data Engineer,Trigyn Technologies ltd,Beirut - Lebanon,https://www.naukrigulf.com/trigyn-technologies-ltd-careers-cid-373471,5 - 10 Years,"The Data Engineer will design ETL pipelines, automate data ingestion, ensure data quality, and collaborate with teams while possessing strong analytical skills and cloud expertise."
Applied AI & Data Engineer,Morgan's Holding Global LLC,"Chandigarh , Chennai , Bangalore - India",https://www.naukrigulf.com/morgan's-holding-global-llc-careers-cid-373189,5 - 10 Years,"Build AI assistants, design evaluation sets, improve data quality, and develop data pipelines while collaborating with developers using strong Python and cloud skills."
FinTech Data Engineer,Acesoft Labs (India) Pvt Ltd,Dubai - United Arab Emirates (UAE),https://www.naukrigulf.com/acesoft-labs-india-pvt-ltd-careers-cid-295691,4 - 8 Years,"Develop scalable data pipelines for financial data, ensuring data quality and governance using Python, SQL, and ETL tools."
Data Engineer,Acesoft Labs (India) Pvt Ltd,Dubai - United Arab Emirates (UAE),https://www.naukrigulf.com/acesoft-labs-india-pvt-ltd-careers-cid-295691,4 - 9 Years,"Seeking a Data Engineer skilled in PySpark, SQL, and Databricks to develop scalable data pipelines and optimize data processing solutions."
Data Engineer,Dicetek LLC,Abu Dhabi - United Arab Emirates (UAE),https://www.naukrigulf.com/dicetek-llc-jobs-cid-30780,5 - 8 Years,"Develop scalable ETL/ELT pipelines and data integration solutions using cloud technologies, supporting AI/ML workloads and ensuring data quality."
Senior Data Engineer (Arabic Speaker),Dicetek LLC,Dubai - United Arab Emirates (UAE),https://www.naukrigulf.com/dicetek-llc-jobs-cid-30780,10 - 15 Years,"Design and maintain data pipelines, optimize ETL processes, and implement data warehousing solutions; requires expertise in data transformation, orchestration, and NoSQL databases."
Data Engineer/Test,Confidential Company,Abu Dhabi - United Arab Emirates (UAE),,5 - 10 Years,"Design and maintain data pipelines, implement automated testing for data quality, and optimize data warehouse performance; requires proficiency in SQL and programming skills."
Data Engineer,Confidential Company,"Wakra , Doha - Qatar",,5 - 10 Years,"Design, develop, and maintain data ingestion, transformation, and orchestration pipelines using Microsoft Fabric and Azure Data Factory (ADF). Build and manage ETL/ELT processes..."
Senior Data Engineer (Spark),SSC Egypt,Cairo - Egypt,,3 - 8 Years,"Build and manage large scale batch data pipelines using Apache Spark, focusing on performance tuning, data modelling, and automated scheduling."
Senior Consultant - Data Engineering,MAIR GROUP - P.J.S.C,Abu Dhabi - United Arab Emirates (UAE),https://www.naukrigulf.com/mair-group-pjsc-jobs-cid-10817,5 - 10 Years,"Design and implement scalable data platforms on Snowflake for retail analytics Build and optimize ELT pipelines for retail data (POS, e-commerce, CRM, inventory, supply chain) L..."
"Manager - Model Implementation, Data Engineering and IFRS9 Risk Data",Nair Systems LLC,"Abu Dhabi , Dubai , Al Ain - United Arab Emirates (UAE)",https://www.naukrigulf.com/nair-systems-llc-careers-cid-332371,6 - 12 Years,"Lead the design and implementation of ETL pipelines and credit risk data management for IFRS9 compliance, utilizing SQL and Python in a banking environment."
Data Engineer,Al Gurg Group,Dubai - United Arab Emirates (UAE),https://www.naukrigulf.com/easa-saleh-al-gurg-group-jobs-cid-28766,5 - 8 Years,"The role involves preparing enterprise data for AI use cases, ensuring data quality, governance, and collaboration with engineering teams on data pipelines."
Snowflake Data Engineer,Applycup Solutions (Client Confidential),Dubai - United Arab Emirates (UAE),https://www.naukrigulf.com/applycup-solutions-client-confidential-careers-cid-363323,8 - 15 Years,"Design, develop, and maintain scalable data pipelines using Snowflake. Build and optimize ELT workflows using dbt. Develop and orchestrate data pipelines using Apache Airflow. D..."
Snowflake Data Engineer,Applycup Solutions (Client Confidential),Dubai - United Arab Emirates (UAE),https://www.naukrigulf.com/applycup-solutions-client-confidential-careers-cid-363323,8 - 15 Years,"Design, develop, and maintain scalable data pipelines using Snowflake. Build and optimize ELT workflows using dbt. Develop and orchestrate data pipelines using Apache Airflow. D..."
Data Engineer,Dicetek LLC,Dubai - United Arab Emirates (UAE),https://www.naukrigulf.com/dicetek-llc-jobs-cid-30780,4 - 8 Years,"Design and implement data pipelines, optimize ETL processes, ensure data quality, and collaborate with teams using SQL and cloud technologies."
Senior Data Engineer,Capco,United Arab Emirates - United Arab Emirates,,7 - 12 Years,"Build enterprise-scale data solutions using Snowflake, delivering robust data pipelines and curated datasets while ensuring data quality and operational support."
Data Engineer,STMicroelectronics,Agadir - Morocco,,0 - 5 Years,"Data engineers collect, transform, and store data using pipelines, ensuring data quality for analysts and scientists, focusing on Big Data and IoT platforms."
AWS Data Engineer,Client of Salt,Abu Dhabi - United Arab Emirates,,5 - 10 Years,"Build and maintain scalable AWS ingestion pipelines using Glue, PySpark, and S3 while ensuring data quality and compliance with architecture standards."
Big Data Engineer L2,Alef Education,Abu Dhabi - United Arab Emirates,,5 - 10 Years,"Develop and maintain scalable data solutions, manage data pipelines, and mentor developers while utilizing Big Data technologies and best practices."
Senior Data Engineer (Investment Data),Luxoft,Abu Dhabi - United Arab Emirates,https://www.naukrigulf.com/luxoft-jobs-cid-47713,5 - 10 Years,"Seeking a Data Engineer to design and optimize data pipelines using PySpark and Databricks, with strong data governance and production experience."
Data Engineer,CME,Beirut - Lebanon,,5 - 10 Years,"Build resilient data pipelines, manage storage formats, and ensure data quality while collaborating with stakeholders; requires strong SQL, Python, and data engineering skills."
Senior Data Engineer,Big Data Technology Solutions,Dubai - United Arab Emirates,,5 - 10 Years,"Seeking a skilled Data Engineer for technical support of enterprise data platforms, focusing on ETL, data quality, and governance."
