job_title,job_company,job_location,job_link,tags,job_exp
Associate System Engineer “Associate Data Management Engineer,Target Integrated Systems -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/ubsrja3n94m1-associate-system-engineer-associate-data-management-engineer-target-integrated-systems-cairo-egypt,"Full Time
On-site",· 0 - 3 Yrs of Exp
Senior Data Engineer,Vertex Technologies -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/3x6prdwpt2tz-senior-data-engineer-vertex-technologies-cairo-egypt,"Full Time
On-site",· 5+ Yrs of Exp
Data Center Facility Electrical/ Mechanical Engineer,GPX Egypt -,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/39xm37penfcr-data-center-facility-electrical-mechanical-engineer-gpx-egypt-cairo-egypt,"Full Time
On-site",· 3 - 5 Yrs of Exp
Data Engineer (Infrastructure & Operations),MEAHCO - Saudi German Health -,"Katameya, Cairo, Egypt",https://wuzzuf.net/jobs/p/mhqqwhx31ryd-data-engineer-infrastructure-operations-meahco-saudi-german-health-cairo-egypt,"Full Time
On-site",· 5 - 8 Yrs of Exp
Sr. Data Engineer - Spark,Techsa -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/4w6f7tucldaf-sr-data-engineer-spark-techsa-cairo-egypt,"Full Time
Remote",· 7+ Yrs of Exp
Sr. Data Engineer - Flink,Techsa -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/kxuhb21u1pz5-sr-data-engineer-flink-techsa-cairo-egypt,"Full Time
Remote",· 7+ Yrs of Exp
Principal Data Engineer,Vertex Technologies -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/2hly9qsdamhe-principal-data-engineer-vertex-technologies-cairo-egypt,"Full Time
On-site",· 6+ Yrs of Exp
Engineer,Tecno Groups -,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/internship/ewylwttxlw0n-engineer-lead-cairo-egypt,"Internship
On-site",Not specified
Production Planning Engineer,Badawy - BEECO -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/nebtxse2to5r-production-planning-engineer-badawy-beeco-cairo-egypt,"Full Time
On-site",· 3+ Yrs of Exp
Technical Support & Quality Engineer,Bouri Group -,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/24a55ggjdiio-technical-support-quality-engineer-bouri-group-cairo-egypt,"Full Time
Hybrid",· 4 - 7 Yrs of Exp
Planning Engineer,Saudi-firmness -,"Katameya, Cairo, Egypt",https://wuzzuf.net/jobs/p/nqbt5abgv20b-planning-engineer-saudi-firmness-cairo-egypt,"Full Time
On-site",· 1 - 2 Yrs of Exp
Industrial Engineer,Confidential -,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/p/pgfjoz30wrgh-industrial-engineer-sharqia-egypt,"Full Time
On-site",· 7 - 10 Yrs of Exp
Senior Machine Learning Engineer,TechJump -,"Alexandria, Egypt",https://wuzzuf.net/jobs/p/etxcwinbdjs4-senior-machine-learning-engineer-techjump-alexandria-egypt,"Full Time
Hybrid",· 3 - 7 Yrs of Exp
Facility Management Performance & Quality Engineer,Lasirena Group -,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/p/6bjjkccradum-facility-management-performance-quality-engineer-lasirena-group-cairo-egypt,"Full Time
On-site",· 7 - 10 Yrs of Exp
SAP Master Data Administrator,Amreyah Cement -,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/p/tre5cqqrxiqf-sap-master-data-administrator-amreyah-cement-cairo-egypt,"Full Time
On-site",· 3 - 7 Yrs of Exp
Project Quality Engineer,ICPM -,"Sahel, Cairo, Egypt",https://wuzzuf.net/jobs/p/ihtdsvgl3sxh-project-quality-engineer-icpm-cairo-egypt,"Full Time
Hybrid",· 2 - 5 Yrs of Exp
Sales Engineer,Onspec Engineering and Contracting -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/iqwa14gfeell-sales-engineer-onspec-tawakol-engineering-contracting-cairo-egypt,"Full Time
On-site",· 3 - 7 Yrs of Exp
Quality Control Engineer,Soudanco -,"Port Said, Egypt",https://wuzzuf.net/jobs/p/usgnlqznm4dr-quality-control-engineer-soudanco-port-said-egypt,"Full Time
On-site",· 1 - 3 Yrs of Exp
MLOps Engineer,Etisalat Egypt -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/ol7kpd5vvteu-mlops-engineer-etisalat-egypt-cairo-egypt,"Full Time
Hybrid",· 2 - 4 Yrs of Exp
Quality Manager (Chemical Engineering),Rockal -,"Belbes, Sharqia, Egypt",https://wuzzuf.net/jobs/p/jqaqwtgdkjyp-quality-manager-chemical-engineering-rockal-sharqia-egypt,"Full Time
On-site",· 5 - 10 Yrs of Exp
Production Engineer,Confidential -,"10th of Ramadan City, Sharqia, Egypt",https://wuzzuf.net/jobs/p/usmxetvianxm-production-engineer-sharqia-egypt,"Full Time
On-site",· 3 - 7 Yrs of Exp
(CODE-07) Presales Engineer – IT & Network,IEC-Pro -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/eshln6in6dxe-code-07-presales-engineer-it-network-iec-pro-cairo-egypt,"Full Time
On-site",· 2+ Yrs of Exp
Data Engineer (Apache Spark),Aptivamena Tech -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/ciuesnp11aqc-data-engineer-apache-spark-aptivamena-tech-cairo-egypt,"Full Time
On-site",· 7 - 15 Yrs of Exp
Data Engineer (Apache Flink),Aptivamena Tech -,"Cairo, Egypt",https://wuzzuf.net/jobs/p/xgatgsrcxajg-data-engineer-apache-flink-aptivamena-tech-cairo-egypt,"Full Time
On-site",· 7 - 15 Yrs of Exp
